"Title";"Bedrooms";"Bathrooms";"Floor_no";"Occupancy_status";"Floor_area";"City";"price_in_taka";"Location";"price_per_sqft"
"1255 SQ FT APARTMENT WITH MODERN HOME FEATURES IS UP FOR SALE IN KHILKHET";3;3;3;"VACANT";1255;"DHAKA";6902500;"KHA PARA, KHILKHET";5500.0
"1255 SQ FT RESIDENTIAL APARTMENT FOR SALE IN DHANMONDI, CIRCULAR ROAD";3;3;7;"VACANT";1255;"DHAKA";13805000;"CIRCULAR ROAD, DHANMONDI";11000.0
"1255 SQ FT RESIDENTIAL APARTMENT FOR SALE IN JHIGATOLA ROAD, DHANMONDI";3;3;12;"VACANT";1255;"DHAKA";19452500;"JHIGATOLA ROAD, DHANMONDI";15500.0
"1259 SQ FT CONVENIENT FLAT FOR SALE IN GAZIPUR, CHANDANA";3;3;3;"VACANT";1259;"GAZIPUR";4900000;"CHANDANA, GAZIPUR SADAR UPAZILA";3891.9778
"1260 SFT WELL MAINTAINED APARTMENT FOR SALE AT MIRPUR DHAKA";3;3;4;"VACANT";1260;"DHAKA";8000000;"MIDDLE MONIPUR, MIRPUR";6349.2063
"1260 SQUARE FEET FLAT IS AVAILABLE FOR SALE IN BASHUNDHARA R-A, BLOCK K";3;3;5;"VACANT";1260;"DHAKA";10710000;"BLOCK K, BASHUNDHARA R-A";8500.0
"1265 SQ. FT FLAT FOR SALE AT SHAMOLY R/A NEAR JAMIA AHMADIA SUNNIA ALIA MADRASAH";3;3;3;"VACANT";1265;"CHATTOGRAM";5500000;"24 NO. NORTH AGRABAD WARD, DOUBLE MOORING";4347.8261
"1270 SQ FT APARTMENT IS UP FOR SALE AT 30 NO. EAST MADARBARI WARD NEAR M/S. RAINBOW CNG SERVICE STATION LTD";3;3;5;"VACANT";1270;"CHATTOGRAM";6604000;"MAJHIRGHAT ROAD, 30 NO. EAST MADARBARI WARD";5200.0
"1270 SQ FT RESIDENTIAL FLAT FOR SALE IN MIRPUR, AHMED NAGAR";3;3;1;"VACANT";1270;"DHAKA";6000000;"AHMED NAGAR, MIRPUR";4724.4094
"1274 SQ FT 3 BED APT. IS AVAILABLE FOR SALE IN BANASREE";3;3;6;"VACANT";1274;"DHAKA";10500000;"BLOCK G, BANASREE";8241.7582
"1275 SQ FT RESIDENTIAL APARTMENT FOR SALE AT 14 NO. LALKHAN BAZAAR WARD";3;3;9;"VACANT";1275;"CHATTOGRAM";7393750;"HILL SIDE RESIDENTIAL AREA, LAL KHAN BAZAAR";5799.0196
"1275 SQ.FT AND 3 BEDROOM APARTMENT FOR SALES AT BAKALIA CLOSE TO MOOR ALI BAPER JAME MASJID";3;3;4;"VACANT";1275;"CHATTOGRAM";5100000;"18 NO. EAST BAKALIA WARD, BAKALIA";4000.0
"1275 SQ.FT. APARTMENT AVAILABLE FOR SALE IN NORTH MANIKDI";3;3;3;"VACANT";1275;"DHAKA";5737500;"MANIKDI, CANTONMENT";4500.0
"1275 SQUARE FEET FLAT IS AVAILABLE FOR SALE IN BASHUNDHARA R-A, BLOCK J";3;3;6;"VACANT";1275;"DHAKA";12500000;"BLOCK J, BASHUNDHARA R-A";9803.9216
"1275 SQUARE FEET RESIDENTIAL APARTMENT FOR SALES AT KALAMIA BAZAR";3;3;5;"VACANT";1275;"CHATTOGRAM";5100000;"18 NO. EAST BAKALIA WARD, BAKALIA";4000.0
"1280 SQ FT READY FLAT WITH A SPLENDID INTERIOR IS UP FOR SALE IN BAYAZID, NASIRABAD";3;3;6;"VACANT";1280;"CHATTOGRAM";7400000;"NASIRABAD, BAYAZID";5781.25
"1285 SQ FT APARTMENT WITH 3 BEDROOMS FOR SALE IN BANASREE, BLOCK D";3;3;2;"VACANT";1285;"DHAKA";11000000;"BLOCK D, BANASREE";8560.3113
"1285 SQ FT READY FLAT FOR SALE IN GAZIPUR, CHANDRA";3;3;8;"VACANT";1285;"GAZIPUR";4112000;"CHOWRASTA, CHANDRA";3200.0
